,platform,title,date,place,artist,url
0,Melon Ticket,팬덤스쿨2017코리아뮤직페스티벌 10월1일 그라운드（스탠딩）,2017.10.01 - 2017.10.01,고척스카이돔,"EXO-CBX (첸백시), Red Velvet (레드벨벳), NCT 127, WINNER, BLACKPINK, TWICE (트와이스), 비투비, B1A4, Apink (에이핑크), EXID, 하이라이트 (Highlight), 여자친구 (GFRIEND), FTISLAND, NU`EST, 선미",http://ticket.melon.com/performance/index.htm?prodId=200910
1,Melon Ticket,팬덤스쿨2017코리아뮤직페스티벌 10월1일 스탠드（지정석）,2017.10.01 - 2017.10.01,고척스카이돔,"EXO-CBX (첸백시), Red Velvet (레드벨벳), NCT 127, WINNER, BLACKPINK, TWICE (트와이스), 비투비, B1A4, Apink (에이핑크), EXID, 하이라이트 (Highlight), 여자친구 (GFRIEND), FTISLAND, NU`EST, 선미",http://ticket.melon.com/performance/index.htm?prodId=200912
2,Melon Ticket,서태지 25주년 기념공연 TIME：TRAVELER ENCORE,2017.09.29 - 2017.09.30,올림픽공원올림픽홀,"서태지, 서태지와 아이들, 서태지와 아이들, ",http://ticket.melon.com/performance/index.htm?prodId=200919
3,Melon Ticket,2017 Asia Song Festival－Live Festa，‘Fall In Music’,2017.09.23 - 2017.09.23,부산 사직실내체육관,"뉴이스트 W, 에디킴, San E, 바닐라 어쿠스틱, BewhY (비와이), Mocca, Erik, P.O.P (피오피), Joypark (조이파크)",http://ticket.melon.com/performance/index.htm?prodId=200886
4,Melon Ticket,2017 아시아 송 페스티벌（2017 Asia Song Festival）,2017.09.24 - 2017.09.24,부산 아시아드주경기장,"EXO, 이특, 잭슨, 태연 (TAEYEON), 다이나믹 듀오, 마마무, 더 이스트라이트, Nakashima Mika, Morissette Amon, Shae, Mocca, Micappella, Zara Larsson, Dong Nhi",http://ticket.melon.com/performance/index.htm?prodId=200887
5,Melon Ticket,독도수호 힙합 페스티벌 5,2017.10.08 - 2017.10.08,영남대학교,"헤이즈 (Heize), XXX, 로꼬, NO:EL (장용준), 기리보이, 블랙넛 (Black Nut), 씨잼 (C Jamm), 천재노창, BILL STAX (빌스택스), 조원우 (H2ADIN), 김심야, 오케이션(Okasian), 양홍원 (Young B), 저스디스 (JUSTHIS), Kid Milli, Osshun Gum, nafla, Owen Ovadoz, 루피 (Loopy), 블루 (BLOO), Young West, Sik-K (식케이), 올티 (Olltii), JJK, SUPERBEE, pH-1, G.Soul, 허클베리피 (Huckleberry P), 팔로알토(Paloalto), 레디 (Reddy), 지투 (G2), 스웨이디 (Sway D), 윤비 (YunB), myunDo, 루고 (Lugoh), Reflow, DJ Kendrickx, 이루펀트, 키비, 마이노스 (MINOS), 투게더 브라더스, 지조, 비케이블락 (BK BLOCK), 지심, 마일로, 규영, 제이문 (Jay Moon), X.Q, 프라임보이 (Primeboi), QUAIMO, FRNK",http://ticket.melon.com/performance/index.htm?prodId=200864
6,Melon Ticket,쇼미더머니6 콘서트（Show Me The Money 6 Concert）－서울,2017.09.23 - 2017.09.23,올림픽공원올림픽홀,"타이거JK, 비지 (Bizzy), 다이나믹 듀오, Dok2, DEAN, 넉살, 우원재, 조우찬, Junoflo (주노플로), 한해, 행주, 매니악, 양홍원 (Young B), Ja Mezz, 킬라그램 (Killagramz)",http://ticket.melon.com/performance/index.htm?prodId=200836
7,Melon Ticket,2017 류준열 생일 팬미팅,2017.09.23 - 2017.09.23,경희대학교 평화의전당,None,http://ticket.melon.com/performance/index.htm?prodId=200848
8,Melon Ticket,SLOW LIFE SLOW LIVE 2017（카카오페이 결제）,2017.10.07 - 2017.10.07,잠실종합운동장올림픽주경기장,"Hans Zimmer, Justin Hurwitz",http://ticket.melon.com/performance/index.htm?prodId=200860
9,Melon Ticket,비와이（BewhY）첫 단독콘서트 ‘The Blind Star’,2017.10.14 - 2017.10.14,예스24 라이브홀 (구 악스코리아),"BewhY (비와이), BewhY (비와이), BewhY (비와이), ",http://ticket.melon.com/performance/index.htm?prodId=200915
10,Melon Ticket,2017 THE CRY ground,2017.10.14 - 2017.10.15,난지 한강공원 일대,"싸이 (PSY), Crush, 지코 (ZICO), DEAN, 넉살, Junoflo (주노플로)",http://ticket.melon.com/performance/index.htm?prodId=200907
11,Melon Ticket,2017 정동하 콘서트［THE ARTIST：소리］－춘천,2017.10.28 - 2017.10.28,백령아트센터,"정동하, 정동하, 정동하, 정동하, Various Artists, Various Artists, ",http://ticket.melon.com/performance/index.htm?prodId=200909
12,Melon Ticket,2017 멜로디 포레스트 캠프（Melody Forest Camp）,2017.09.23 - 2017.09.24,자라섬 일대,"신승훈, 김건모, 윤종신, 지코 (ZICO), 버즈, 양희은, 에디킴, 제아, 박주원, 퓨어킴, 조형우, 민서, PERC%NT, Red Velvet (레드벨벳), 박재정, 마크 (MARK), 장재인, 자이언트핑크, 이동우 (LEE DONG WOO), 박상돈, 손태진, Easy Blue",http://ticket.melon.com/performance/index.htm?prodId=200853
13,Melon Ticket,제4회 M．I．SEA 힙합콘서트－제주,2017.10.09 - 2017.10.09,제주 국제컨벤션센터야외특설무대,"넉살, Dok2, The Quiett, 창모 (CHANGMO), 우원재, 딥플로우",http://ticket.melon.com/performance/index.htm?prodId=200893
14,Melon Ticket,마블익스피리언스 부산,2017.10.12 - 2018.01.31,마블 익스피리언스 부산,None,http://ticket.melon.com/performance/index.htm?prodId=200867
15,Melon Ticket,SLOW LIFE SLOW LIVE 2017,2017.10.07 - 2017.10.07,잠실종합운동장올림픽주경기장,"Hans Zimmer, Justin Hurwitz",http://ticket.melon.com/performance/index.htm?prodId=200834
16,Melon Ticket,뮤지컬 〈서른즈음에〉,2017.10.20 - 2017.12.02,이화여자대학교삼성홀,"산들 (B1A4), 백형훈, 이정열, 조순창, 유주혜, Kei (러블리즈)",http://ticket.melon.com/performance/index.htm?prodId=200891
17,Melon Ticket,2017 김경호 전국투어 콘서트［THE SHOW MUST GO ON］－김해 ,2017.11.04 - 2017.11.04,김해문화의전당마루홀,김경호,http://ticket.melon.com/performance/index.htm?prodId=200916
18,Melon Ticket,힙합 페스티벌 in 대전（ONLY YOUNG FESTIVAL）,2017.10.13 - 2017.10.14,대전 무역전시관야외 광장,"Dok2, The Quiett, 기리보이, 천재노창, 씨잼 (C Jamm), 창모 (CHANGMO), 김효은, Hash Swan, 딥플로우, Don Mills, 우탄, Odee, 벤 (VEN), BIG ONE, 넉살, SUPERBEE, myunDo, 한요한, 한해",http://ticket.melon.com/performance/index.htm?prodId=200829
19,Melon Ticket,마이큐 소극장 콘서트 ‘Emotional’,2017.09.16 - 2017.09.16,베어홀,마이큐,http://ticket.melon.com/performance/index.htm?prodId=200903
